,Country,EdLevel,YearsCodePro,Salary
9,Sweden,Master’s degree,4.0,51552.0
11,Spain,Bachelor’s degree,5.0,46482.0
12,Germany,Master’s degree,6.0,77290.0
16,Turkey,Bachelor’s degree,2.0,17748.0
17,Canada,Bachelor’s degree,6.0,46135.0
23,France,Master’s degree,2.0,38915.0
24,Germany,Master’s degree,18.0,77831.0
26,Switzerland,Master’s degree,5.0,81319.0
27,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,21.0,68507.0
29,Russian Federation,Master’s degree,16.0,37752.0
31,Israel,Bachelor’s degree,2.0,122580.0
33,Turkey,Bachelor’s degree,2.0,11832.0
35,Germany,Master’s degree,10.0,60535.0
36,United States of America,Bachelor’s degree,0.5,103000.0
41,France,Master’s degree,3.0,25944.0
45,Brazil,Bachelor’s degree,15.0,60480.0
55,United Kingdom of Great Britain and Northern Ireland,Master’s degree,12.0,64630.0
57,Italy,Master’s degree,16.0,54049.0
58,Russian Federation,Post grad,3.0,22644.0
62,United States of America,Bachelor’s degree,5.0,130000.0
67,Canada,Less than a Bachelors,10.0,71850.0
68,Spain,Master’s degree,10.0,58373.0
69,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,18.0,129266.0
70,Netherlands,Master’s degree,2.0,25944.0
75,United States of America,Bachelor’s degree,15.0,105000.0
76,Poland,Bachelor’s degree,8.0,45564.0
77,Canada,Post grad,8.0,151263.0
81,Sweden,Bachelor’s degree,3.0,40500.0
86,Canada,Less than a Bachelors,17.0,95295.0
87,United States of America,Post grad,1.0,100000.0
88,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,14.0,61398.0
91,Netherlands,Less than a Bachelors,10.0,108098.0
97,Poland,Bachelor’s degree,4.0,27336.0
105,Switzerland,Master’s degree,26.0,134176.0
106,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,3.0,64630.0
108,Spain,Less than a Bachelors,8.0,38915.0
114,Italy,Master’s degree,2.0,14268.0
116,Netherlands,Bachelor’s degree,2.0,43239.0
118,United States of America,Bachelor’s degree,6.0,140000.0
119,France,Master’s degree,2.0,45401.0
124,Israel,Less than a Bachelors,5.0,101916.0
128,United States of America,Bachelor’s degree,1.0,54000.0
130,Netherlands,Less than a Bachelors,5.0,36324.0
136,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,3.0,38778.0
137,Canada,Master’s degree,5.0,63530.0
143,United States of America,Bachelor’s degree,34.0,200000.0
145,Germany,Master’s degree,11.0,97288.0
146,Russian Federation,Post grad,5.0,75492.0
150,France,Master’s degree,5.0,49725.0
152,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,25.0,70047.0
153,United States of America,Bachelor’s degree,4.0,98500.0
155,United States of America,Bachelor’s degree,24.0,115000.0
156,Switzerland,Master’s degree,6.0,43908.0
160,Israel,Bachelor’s degree,4.0,105072.0
161,United Kingdom of Great Britain and Northern Ireland,Post grad,22.0,71093.0
170,Canada,Master’s degree,3.0,98321.0
172,Italy,Less than a Bachelors,14.0,54049.0
175,Russian Federation,Bachelor’s degree,6.0,56616.0
180,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,25.0,60752.0
182,Poland,Bachelor’s degree,3.0,16704.0
186,United Kingdom of Great Britain and Northern Ireland,Master’s degree,13.0,84019.0
190,United States of America,Master’s degree,9.0,70000.0
198,Russian Federation,Master’s degree,2.0,30192.0
199,United States of America,Less than a Bachelors,5.0,90000.0
203,Netherlands,Bachelor’s degree,6.0,50592.0
206,United States of America,Master’s degree,2.0,193000.0
209,Australia,Master’s degree,2.0,96874.0
210,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,14.0,77556.0
212,Switzerland,Less than a Bachelors,22.0,121979.0
213,Russian Federation,Post grad,9.0,75492.0
223,Russian Federation,Bachelor’s degree,26.0,43404.0
226,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,7.0,103408.0
227,France,Master’s degree,5.0,44320.0
234,United States of America,Bachelor’s degree,22.0,165000.0
237,Germany,Less than a Bachelors,5.0,51888.0
244,France,Master’s degree,9.0,64859.0
245,Germany,Less than a Bachelors,3.0,42158.0
246,Germany,Bachelor’s degree,7.0,32424.0
249,United States of America,Bachelor’s degree,2.0,60000.0
252,France,Post grad,12.0,35028.0
258,Germany,Post grad,8.0,74588.0
261,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,3.0,50153.0
262,India,Master’s degree,11.0,30716.0
263,France,Master’s degree,7.0,77831.0
268,Germany,Master’s degree,2.0,54049.0
271,France,Master’s degree,7.0,41077.0
275,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,2.0,19389.0
276,France,Master’s degree,15.0,77831.0
278,United States of America,Bachelor’s degree,13.0,160000.0
279,Israel,Bachelor’s degree,8.0,200409.0
285,United States of America,Bachelor’s degree,9.0,107972.0
290,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,6.0,48472.0
292,United States of America,Bachelor’s degree,16.0,120000.0
300,Spain,Post grad,5.0,32429.0
301,Spain,Master’s degree,10.0,12972.0
305,Spain,Bachelor’s degree,4.0,28105.0
312,United Kingdom of Great Britain and Northern Ireland,Post grad,4.0,51704.0
318,Germany,Bachelor’s degree,15.0,70264.0
323,United States of America,Master’s degree,13.0,115000.0
324,United States of America,Bachelor’s degree,12.0,144000.0
327,Germany,Master’s degree,21.0,70264.0
332,Canada,Less than a Bachelors,34.0,181515.0
333,Sweden,Bachelor’s degree,26.0,81000.0
334,United States of America,Less than a Bachelors,22.0,105000.0
335,Germany,Master’s degree,5.0,56211.0
336,United Kingdom of Great Britain and Northern Ireland,Master’s degree,7.0,64630.0
337,Turkey,Bachelor’s degree,3.0,35508.0
338,Germany,Less than a Bachelors,11.0,64859.0
345,United States of America,Master’s degree,10.0,110000.0
347,United States of America,Bachelor’s degree,15.0,120000.0
351,Germany,Less than a Bachelors,6.0,48644.0
354,Poland,Master’s degree,11.0,54672.0
356,Netherlands,Less than a Bachelors,4.0,35676.0
359,Canada,Bachelor’s degree,4.0,75631.0
363,United States of America,Less than a Bachelors,39.0,70000.0
364,Germany,Master’s degree,9.0,58373.0
